ano_mes,ano,faixa_potencia,marca,soma_kw,qtd_instalacoes,kw_medio_instalacao
1900-01,1900,≤10 kW,Astronergy,4.08,1,4.08
1900-01,1900,≤10 kW,Canadian Solar,7.34,2,3.67
1900-01,1900,≤10 kW,Hanersun,11.8,2,5.9
1900-01,1900,≤10 kW,JA Solar,5.0,1,5.0
1900-01,1900,≤10 kW,Luxen Solar,5.0,1,5.0
1900-01,1900,≤10 kW,Outros,4.28,1,4.28
1900-01,1900,≤10 kW,ReneSola,5.0,1,5.0
1900-01,1900,≤10 kW,Sunova,10.0,2,5.0
1900-01,1900,≤10 kW,Trina Solar,8.0,1,8.0
1900-01,1900,10–20 kW,LONGi Solar,10.5,1,10.5
1900-01,1900,20–75 kW,Jinko Solar,75.0,1,75.0
1900-01,1900,20–75 kW,Outros,66.0,1,66.0
2009-06,2009,≤10 kW,Canadian Solar,8.2,1,8.2
2009-06,2009,≤10 kW,OSDA,10.0,2,5.0
2009-06,2009,≤10 kW,Risen Energy,5.0,1,5.0
2009-09,2009,≤10 kW,Bel Energy,15.2,4,3.8
2009-09,2009,≤10 kW,DAH Solar,2.0,1,2.0
2009-09,2009,≤10 kW,Elgin,1.0,1,1.0
2009-09,2009,≤10 kW,JA Solar,2.0,1,2.0
2009-09,2009,≤10 kW,Outros,4.0,1,4.0
2009-09,2009,≤10 kW,Trina Solar,4.0,1,4.0
2009-09,2009,10–20 kW,Bel Energy,113.0,8,14.125
2009-09,2009,10–20 kW,Outros,10.45,1,10.45
2009-10,2009,≤10 kW,DAH Solar,10.0,1,10.0
2010-03,2010,20–75 kW,Sunova,30.0,1,30.0
2010-04,2010,≤10 kW,Trina Solar,1.2,1,1.2
2010-08,2010,≤10 kW,Jinko Solar,6.0,1,6.0
2010-09,2010,≤10 kW,Canadian Solar,6.0,1,6.0
2010-12,2010,≤10 kW,Outros,8.0,1,8.0
2011-02,2011,≤10 kW,LONGi Solar,2.0,1,2.0
2011-02,2011,≤10 kW,Outros,11.0,2,5.5
2011-04,2011,≤10 kW,Sunova,3.0,1,3.0
2011-06,2011,≤10 kW,Trina Solar,1.0,1,1.0
2011-06,2011,10–20 kW,Astronergy,15.4,1,15.4
2011-06,2011,10–20 kW,Bel Energy,14.0,1,14.0
2011-07,2011,10–20 kW,Outros,10.45,1,10.45
2011-09,2011,≤10 kW,Trina Solar,4.08,1,4.08
2011-10,2011,≤10 kW,Bel Energy,10.0,3,3.3333333333333335
2011-10,2011,≤10 kW,Canadian Solar,5.0,1,5.0
2011-10,2011,≤10 kW,DAH Solar,2.0,1,2.0
2011-10,2011,≤10 kW,Hanersun,8.0,1,8.0
2011-10,2011,≤10 kW,Helius Energy,13.0,2,6.5
2011-10,2011,≤10 kW,Honor Solar,1.0,1,1.0
2011-10,2011,≤10 kW,Intelbras,3.0,1,3.0
2011-10,2011,≤10 kW,JA Solar,6.0,1,6.0
2011-10,2011,≤10 kW,Jinko Solar,8.0,4,2.0
2011-10,2011,≤10 kW,LONGi Solar,11.0,2,5.5
2011-10,2011,≤10 kW,OSDA,5.0,2,2.5
2011-10,2011,≤10 kW,Outros,3.0,3,1.0
2011-10,2011,≤10 kW,Risen Energy,8.0,1,8.0
2011-10,2011,≤10 kW,Trina Solar,1.8,1,1.8
2011-10,2011,≤10 kW,WEG,6.0,1,6.0
2011-10,2011,≤10 kW,ZNShine Solar,10.0,1,10.0
2011-10,2011,10–20 kW,BYD,12.0,1,12.0
2011-10,2011,10–20 kW,Bel Energy,42.0,3,14.0
2011-10,2011,20–75 kW,BYD,60.0,1,60.0
2012-01,2012,≤10 kW,LONGi Solar,2.0,1,2.0
2012-01,2012,75–300 kW,Era Solar,195.0,1,195.0
2012-02,2012,300 kW–1 MW,Yingli Solar,403.0,1,403.0
2012-03,2012,≤10 kW,DAH Solar,2.0,1,2.0
2012-03,2012,≤10 kW,Tsun,1.0,1,1.0
2012-06,2012,≤10 kW,DAH Solar,3.0,1,3.0
2012-07,2012,≤10 kW,BYD,3.0,1,3.0
2012-09,2012,≤10 kW,Bedin Solar,2.0,1,2.0
2012-09,2012,≤10 kW,DAH Solar,6.0,3,2.0
2012-09,2012,≤10 kW,Intelbras,6.0,1,6.0
2012-09,2012,≤10 kW,JA Solar,6.0,1,6.0
2012-09,2012,≤10 kW,Jinko Solar,6.0,3,2.0
2012-09,2012,≤10 kW,LONGi Solar,6.0,1,6.0
2012-09,2012,≤10 kW,OSDA,9.0,2,4.5
2012-09,2012,≤10 kW,Outros,2.0,2,1.0
2012-09,2012,≤10 kW,Sine Energy,10.0,1,10.0
2012-09,2012,≤10 kW,Sunova,11.0,2,5.5
2012-09,2012,≤10 kW,Tsun,8.0,2,4.0
2012-09,2012,≤10 kW,ZNShine Solar,53.0,6,8.833333333333334
2012-09,2012,10–20 kW,LONGi Solar,14.0,1,14.0
2012-10,2012,≤10 kW,DAH Solar,2.0,1,2.0
2012-11,2012,≤10 kW,LONGi Solar,10.0,1,10.0
2012-12,2012,≤10 kW,BYD,3.0,1,3.0
2012-12,2012,≤10 kW,Outros,6.8,1,6.8
2013-02,2013,≤10 kW,Intelbras,2.67,1,2.67
2013-03,2013,≤10 kW,Bel Energy,2.0,1,2.0
2013-04,2013,≤10 kW,DAH Solar,1.0,1,1.0
2013-04,2013,10–20 kW,Outros,15.0,1,15.0
2013-05,2013,≤10 kW,Bel Energy,1.0,1,1.0
2013-05,2013,≤10 kW,JA Solar,5.0,1,5.0
2013-05,2013,≤10 kW,Sunova,2.0,1,2.0
2013-05,2013,10–20 kW,Bel Energy,14.0,1,14.0
2013-05,2013,20–75 kW,DAH Solar,75.0,1,75.0
2013-05,2013,20–75 kW,Intelbras,75.0,1,75.0
2013-06,2013,≤10 kW,Jinko Solar,1.0,1,1.0
2013-06,2013,10–20 kW,Outros,10.45,1,10.45
2013-06,2013,20–75 kW,Canadian Solar,24.0,1,24.0
2013-06,2013,20–75 kW,Yingli Solar,27.0,1,27.0
2013-07,2013,≤10 kW,BYD,1.0,1,1.0
2013-07,2013,≤10 kW,Outros,10.0,1,10.0
2013-07,2013,10–20 kW,Bel Energy,14.0,1,14.0
2013-08,2013,≤10 kW,Bel Energy,2.2,1,2.2
2013-08,2013,≤10 kW,Canadian Solar,5.41,2,2.705
2013-08,2013,≤10 kW,DAH Solar,8.0,4,2.0
2013-08,2013,≤10 kW,LONGi Solar,5.0,1,5.0
2013-08,2013,≤10 kW,OSDA,2.0,2,1.0
2013-08,2013,≤10 kW,Outros,5.0,2,2.5
2013-08,2013,≤10 kW,Yingli Solar,8.0,1,8.0
2013-08,2013,10–20 kW,Bel Energy,42.0,3,14.0
2013-08,2013,20–75 kW,Outros,22.8,1,22.8
2013-08,2013,75–300 kW,Canadian Solar,250.0,1,250.0
2013-09,2013,≤10 kW,Bel Energy,2.0,1,2.0
2013-09,2013,≤10 kW,DAH Solar,2.0,1,2.0
2013-09,2013,≤10 kW,Outros,0.6,1,0.6
2013-09,2013,≤10 kW,Yingli Solar,7.8,2,3.9
2013-09,2013,10–20 kW,Bel Energy,14.0,1,14.0
2013-09,2013,20–75 kW,Outros,32.0,1,32.0
2013-10,2013,≤10 kW,Honor Solar,8.0,1,8.0
2013-10,2013,≤10 kW,Jinko Solar,2.0,1,2.0
2013-10,2013,≤10 kW,Outros,6.08,2,3.04
2013-10,2013,≤10 kW,Yingli Solar,10.6,4,2.65
2013-10,2013,10–20 kW,Yingli Solar,24.119999999999997,2,12.059999999999999
2013-10,2013,20–75 kW,Outros,37.8,1,37.8
2013-11,2013,≤10 kW,DAH Solar,2.0,1,2.0
2013-11,2013,≤10 kW,Outros,2.0,1,2.0
2013-11,2013,≤10 kW,Sunergy,5.29,1,5.29
2013-11,2013,≤10 kW,Yingli Solar,8.11,2,4.055
2013-11,2013,10–20 kW,Outros,12.7,1,12.7
2013-12,2013,≤10 kW,Canadian Solar,5.050000000000001,2,2.5250000000000004
2013-12,2013,≤10 kW,DAH Solar,8.0,1,8.0
2013-12,2013,≤10 kW,Jinko Solar,2.0,1,2.0
2013-12,2013,≤10 kW,Outros,14.86,2,7.43
2013-12,2013,≤10 kW,Trina Solar,10.4,3,3.466666666666667
2013-12,2013,≤10 kW,Yingli Solar,2.0,1,2.0
2013-12,2013,10–20 kW,Bel Energy,14.0,1,14.0
2013-12,2013,10–20 kW,Não informado,10.9,1,10.9
2013-12,2013,10–20 kW,Trina Solar,13.0,1,13.0
2014-01,2014,≤10 kW,Canadian Solar,8.08,3,2.6933333333333334
2014-01,2014,≤10 kW,GCL System,5.0,1,5.0
2014-01,2014,≤10 kW,Outros,5.88,2,2.94
2014-01,2014,≤10 kW,Yingli Solar,3.5,2,1.75
2014-01,2014,20–75 kW,Não informado,30.36,1,30.36
2014-02,2014,≤10 kW,BYD,3.29,1,3.29
2014-02,2014,≤10 kW,Outros,29.939999999999998,10,2.9939999999999998
2014-02,2014,≤10 kW,Trina Solar,5.39,1,5.39
2014-02,2014,≤10 kW,Ulica Solar,10.0,1,10.0
2014-02,2014,≤10 kW,Yingli Solar,19.35,4,4.8375
2014-02,2014,20–75 kW,BYD,21.12,1,21.12
2014-03,2014,≤10 kW,Canadian Solar,3.06,1,3.06
2014-03,2014,≤10 kW,DAH Solar,2.0,1,2.0
2014-03,2014,≤10 kW,Outros,6.1,3,2.033333333333333
2014-03,2014,≤10 kW,Yingli Solar,3.0,1,3.0
2014-03,2014,20–75 kW,Risen Energy,21.5,1,21.5
2014-03,2014,75–300 kW,Canadian Solar,76.0,1,76.0
2014-03,2014,75–300 kW,Não informado,248.0,1,248.0
2014-04,2014,≤10 kW,Não informado,3.5,1,3.5
2014-04,2014,≤10 kW,Outros,23.0,6,3.8333333333333335
2014-04,2014,≤10 kW,Yingli Solar,3.12,1,3.12
2014-04,2014,10–20 kW,Yingli Solar,10.3,1,10.3
2014-04,2014,20–75 kW,Não informado,25.99,1,25.99
2014-04,2014,20–75 kW,Outros,28.8,1,28.8
2014-04,2014,300 kW–1 MW,Yingli Solar,360.0,1,360.0
2014-05,2014,≤10 kW,Canadian Solar,6.890000000000001,4,1.7225000000000001
2014-05,2014,≤10 kW,DAH Solar,10.0,1,10.0
2014-05,2014,≤10 kW,Outros,19.21,5,3.842
2014-05,2014,≤10 kW,Yingli Solar,31.95,7,4.564285714285714
2014-05,2014,10–20 kW,Yingli Solar,11.52,1,11.52
2014-05,2014,20–75 kW,Risen Energy,33.0,1,33.0
2014-06,2014,≤10 kW,Canadian Solar,10.0,1,10.0
2014-06,2014,≤10 kW,Outros,22.43,5,4.486
2014-06,2014,≤10 kW,Trina Solar,5.0,2,2.5
